channel_id,subscriber_count,total_video_count
"['겜있슈', 'UC_KJX2cvVtsd7noKYCs2LoQ']",2.25천,93
"['유채훈의 웃음극장', 'UCWc4x2Wf7MsVJD8Ap8jOzUw']",82.4만,700
"['KBS Drama', 'UChpjIaEgwtDZtmWEkzFulSA']",415만,14만
"['숏마루', 'UCifNMQjnbBwKc4RxA6rqdjg']",8.2천,134
"['RF 온라인 넥스트', 'UCs9sgwsCzkI-higacHvHL1w']",2.78만,32
"['리틀신비🎵 | 키즈 율동 동요', 'UCbXvj_H3xn3J0j-9Fh75Z3w']",171만,1.7천
"['아무', 'UCOBSv-Wri_98VeyJs05q5tw']",1.13만,302
"['우왁굳의 종합게임', 'UChCqDNXQddSr0ncjs_78duA']",34.9만,812
"['김재원의 즐거운 세상', 'UCta_NRwnsUaew0t3VNxBNyg']",182만,3.4천
"['드라마 체리', 'UCtlof7wQGB9WSdNI5m4ssag']",10.6만,412
"['수탉', 'UCw-JzmPsjRcbzJLncr4pIIA']",95.3만,1.8천
"['상상 커머스', 'UC9cZi5TTpJeR46gZWRMGbuA']",30.8만,162
"['Evony Turkiye', 'UC_P4sONOnmudu0mMwstV6TA']",993,49
"['락과장 Rock manager ', 'UCYbe-39wG9q9vxnAOe5pDlw']",49.4만,482
"['여유만만', 'UCDb1t5K_DAgdfYQyq0k40HQ']",49.5만,75
"['괴물쥐 유튜브', 'UCDBAVzfX3yZ1hah0FHnOoaA']",119만,1.8천
"['껌꾸', 'UCPUfNz5O7_WqOYp1wbK-93Q']",1.82만,368
"['마재TV', 'UC7uKMg7lPdCp4Nm1tLesihQ']",73.5만,4.4천
"['Netflix Korea 넷플릭스 코리아', 'UCiEEF51uRAeZeCo8CJFhGWw']",215만,4.4천
"['심심한설이', 'UCjn3o1dglge6rXi_aWkC0FQ']",4.46천,87
"['이즈렌TV', 'UC8LAmx50eec9oRflQT5037w']",4.71만,1만
"['이도원', 'UCWq9wRjQXYC8i486uVLysUA']",41.8만,625
"['들똑노 [들으면 똑똑해지는 노래]', 'UCkDemZuEuIewkTNVXKgZa7w']",3.23만,57
"['민또 경또', 'UCCW6uYIUP4YKKe50k-ktVAw']",58.8만,1.6천
"['이터널 리턴', 'UCEOaB76vS9RfiAwEzxB8QGw']",5.66만,1.2천
"['숏츠랜드', 'UC1Y8cR5EuLGjDyLgdO6mFyg']",1.22만,421
"['World of Tаnks', 'UCKyF2Yh-Ca8C8cHwJUEc5-A']",1.12만,N/A
